Taxonomy,MetabolicCategory,FeedingType,Environment,FeedingMode,TrophicLevel,BodyWeight,Mobility
"Stylocordyla borealis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,45,1
"Homaxinella balfourensis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,1
"Scolymastra joubini",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,720,1
"Latrunculia apicalis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1,1
"Latrunculia brevis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1,1
"Tetilla leptoderma",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,30,1
"Haliclona dancoi",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Mycale acerata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,12,1
"Rossella antarctica",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,12,1
"Rossella tarenja",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,12,1
"Haliclona tenella",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Clathria pauper",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,1
"Calyx arcuarius",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,1
"Isodyctia toxophila",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Isodyctia cavicornuta",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Isodyctia steifera",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Axociella nidificata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.5,1
"Rossella nuda",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,300,1
"Tentorium papillatum",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Tentorium semisuberites",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Tedania oxeata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Tedania tantulata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Tedania vanhoeffeni",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Phorbas areolatus",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2,1
"Phorbas glaberrima",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2,1
"Polymastia invaginata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.92,1
"Polymastia isidis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.92,1
"Anoxycalyx joubini",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,720,1
"Beroe cucumis",Invertebrate,carnivorous,pelagic,predator,4.19,0.085,4
"Lyrocteis flavopallidus",Invertebrate,carnivorous,pelagic,predator,3.66,0.19,4
"Callianira antarctica",Invertebrate,carnivorous,pelagic,predator,3.78,5.6,4
"Baseodiscus antarcticus",Invertebrate,carnivorous/necrovorous,benthic,predator/scavenger,3.52,5800,2
"Lineus longifissus",Invertebrate,carnivorous/necrovorous,benthic,predator/scavenger,3.52,5800,2
"Parborlasia corrugatus",Invertebrate,carnivorous/necrovorous,benthic,predator/scavenger,3.52,5800,2
"Phascolion strombi",Invertebrate,detrivorous,benthic,deposit-feeder,2,6.3e-07,2
"Golfingia nordenskojoeldi",Invertebrate,detrivorous,benthic,deposit-feeder,2,6.3e-07,2
"Golfingia mawsoni",Invertebrate,detrivorous,benthic,deposit-feeder,2,4.1e-05,2
"Golfingia ohlini",Invertebrate,detrivorous,benthic,deposit-feeder,2,2.8e-05,2
"Golfingia anderssoni",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.0022,2
"Golfingia margaritacea margaritacea",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.92,2
"Alomasoma belyaevi",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.57,2
"Echiurus antarcticus",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.00088,2
Hamingia,Invertebrate,detrivorous,benthic,deposit-feeder,2,0.018,2
"Maxmuelleria faex",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.01,2
"Flustra angusta",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Camptoplites tricornis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Nematoflustra flagellata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Austroflustra vulgaris",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.15,1
"Melicerita obliqua",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Systenopora contracta",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,30,1
"Flustra antarctica",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Fasciculiporoides ramosa",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2,1
"Reteporella hippocrepis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,1
"Lageneschara lyrulata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.085,1
"Isoschizoporella tricuspis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Caulastraea curvata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Chondriovelum adeliense",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Bostrychopora dentata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.085,1
"Liothyrella uva",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.085,1
"Magellania joubini",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.0022,1
"Magellania fragilis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.082,1
"Crania lecointei",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.00014,1
"Compsothyris racovitzae",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.0022,1
"Liothyrella uva antarctica",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.085,1
"Eukrohnia hamata",Invertebrate,omnivorous,pelagic,predator,3.1,0.0052,4
"Pseudosagitta gazellae",Invertebrate,omnivorous,pelagic,predator,3.14,0.15,4
"Sagitta marri",Invertebrate,omnivorous,pelagic,predator,3.11,0.0013,4
"Pseudosagitta maxima",Invertebrate,omnivorous,pelagic,predator,3.11,0.35,4
Cephalodiscus,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.2,1
"Molgula pedunculata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,11,1
"Ascidia challengeri",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.69,1
"Corella eumyota",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Aplidium vastum",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.6,1
"Synoicum adareanum",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.1,1
"Cnemidocarpa verrucosa",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,15,1
"Sycozoa sigillinoides",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.01,1
"Pyura bouvetensis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.085,1
"Pyura discoveryi",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.15,1
"Pyura setosa",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.29,1
"Pyura tunicata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.19,1
"Salpa thompsoni",Invertebrate,omnivorous,pelagic,predator,2.27,0.14,4
"Salpa gerlachei",Invertebrate,omnivorous,pelagic,predator,2.06,0.0074,4
"Ihlea racovitzai",Invertebrate,omnivorous,pelagic,predator,2.06,0.0074,4
"Artedidraco orianae","ectotherm vertebrate",carnivorous,demersal,predator,3.74,95,4
"Artedidraco loennbergi","ectotherm vertebrate",carnivorous,demersal,predator,3.86,17,4
"Artedidraco skottsbergi","ectotherm vertebrate",carnivorous,demersal,predator,3.85,33,4
"Dolloidraco longedorsalis","ectotherm vertebrate",carnivorous,demersal,predator,3.72,13,4
"Pogonophryne marmorata","ectotherm vertebrate",carnivorous,demersal,predator,3.71,190,4
"Pogonophryne phyllopogon","ectotherm vertebrate",carnivorous,demersal,predator,3.9,230,4
"Pogonophryne permitini","ectotherm vertebrate",carnivorous,demersal,predator,3.91,80,4
"Pogonophryne scotti","ectotherm vertebrate",carnivorous,demersal,predator,3.91,440,4
"Pogonophryne barsukovi","ectotherm vertebrate",carnivorous,demersal,predator,3.91,190,4
"Cygnodraco mawsoni","ectotherm vertebrate",carnivorous,demersal,predator,4.01,760,4
