"NumTraits" "Overlap"
"BM" 1 0.0926727107387914
"HB" 1 0.0793746951363429
"FT" 1 0.0801490331908673
"FM" 1 0.0814489501005094
"MC" 1 0.0859355036541115
"MB" 1 0.0853307847150566
"BM+HB" 2 0.0927690015999412
"BM+FT" 2 0.0936360177081497
"BM+FM" 2 0.0954963652885052
"BM+MC" 2 0.0941454219700646
"BM+MB" 2 0.0999187893673494
"HB+FT" 2 0.0804474886572948
"HB+FM" 2 0.0818712975736428
"HB+MC" 2 0.085951610155052
"HB+MB" 2 0.0857259387028524
"FT+FM" 2 0.0818208359690526
"FT+MC" 2 0.0862233997094266
"FT+MB" 2 0.0856742527173913
"FM+MC" 2 0.0877418793755707
"FM+MB" 2 0.0855942988037669
"MC+MB" 2 0.0917674025158949
"BM+HB+FT" 3 0.0936421013551142
"BM+HB+FM" 3 0.0955008850562744
"BM+HB+MC" 3 0.0941471790373453
"BM+HB+MB" 3 0.0999247271358675
"BM+FT+FM" 3 0.095554250644037
"BM+FT+MC" 3 0.0944875252865812
"BM+FT+MB" 3 0.100036687059383
"BM+FM+MC" 3 0.0963159552835827
"BM+FM+MB" 3 0.100139951761308
"BM+MC+MB" 3 0.100805323528236
"HB+FT+FM" 3 0.0820584144645341
"HB+FT+MC" 3 0.0862396143194174
"HB+FT+MB" 3 0.0859325758479124
"HB+FM+MC" 3 0.0877586701808408
"HB+FM+MB" 3 0.085951610155052
"HB+MC+MB" 3 0.0917857695211929
"FT+FM+MC" 3 0.0877747037636373
"FT+FM+MB" 3 0.0858441039080381
"FT+MC+MB" 3 0.0918417507191494
"FM+MC+MB" 3 0.0919078461916865
"BM+HB+FT+FM" 4 0.0955560606921634
"BM+HB+FT+MC" 4 0.0944892951467586
"BM+HB+FT+MB" 4 0.100038670910551
"BM+HB+FM+MC" 4 0.0963177943043715
"BM+HB+FM+MB" 4 0.10014293371449
"BM+HB+MC+MB" 4 0.100807337982854
"BM+FT+FM+MC" 4 0.0963536692516331
"BM+FT+FM+MB" 4 0.100185694567193
"BM+FT+MC+MB" 4 0.100893026790804
"BM+FM+MC+MB" 4 0.100974818847832
"HB+FT+FM+MC" 4 0.0877915071353985
"HB+FT+FM+MB" 4 0.0860880249842142
"HB+FT+MC+MB" 4 0.0918601475006829
"HB+FM+MC+MB" 4 0.0919262694645151
"FT+FM+MC+MB" 4 0.0919354838709677
"BM+HB+FT+FM+MC" 5 0.0963555097129104
"BM+HB+FT+FM+MB" 5 0.100187684332827
"BM+HB+FT+MC+MB" 5 0.100895044752238
"BM+HB+FM+MC+MB" 5 0.100976840082471
"BM+FT+FM+MC+MB" 5 0.101006157080643
"HB+FT+FM+MC+MB" 5 0.0919539182267267
"aa" 6 0.101008179570097
