"NumTraits" "Overlap"
"BM" 1 0.178548895899054
"HB" 1 0.108762490392006
"FT" 1 0.131322505800464
"FM" 1 0.10797405570393
"MC" 1 0.141288067898153
"MB" 1 0.124068391056554
"BM+HB" 2 0.184846505551927
"BM+FT" 2 0.187915006640106
"BM+FM" 2 0.182462927143778
"BM+MC" 2 0.209010339734121
"BM+MB" 2 0.211509715994021
"HB+FT" 2 0.13489037178265
"HB+FM" 2 0.114020950846092
"HB+MC" 2 0.143654822335025
"HB+MB" 2 0.125889679715302
"FT+FM" 2 0.133239171374765
"FT+MC" 2 0.157309616453585
"FT+MB" 2 0.150371944739639
"FM+MC" 2 0.143146181082448
"FM+MB" 2 0.124177270732778
"MC+MB" 2 0.15515350877193
"BM+HB+FT" 3 0.191216216216216
"BM+HB+FM" 3 0.187915006640106
"BM+HB+MC" 3 0.211351755041075
"BM+HB+MB" 3 0.214069591527988
"BM+FT+FM" 3 0.191087103308575
"BM+FT+MC" 3 0.20962962962963
"BM+FT+MB" 3 0.21937984496124
"BM+FM+MC" 3 0.212303075768942
"BM+FM+MB" 3 0.211826347305389
"BM+MC+MB" 3 0.23563696919234
"HB+FT+FM" 3 0.136913401064344
"HB+FT+MC" 3 0.159706546275395
"HB+FT+MB" 3 0.153055705786912
"HB+FM+MC" 3 0.145576131687243
"HB+FM+MB" 3 0.1260017809439
"HB+MC+MB" 3 0.15748469671675
"FT+FM+MC" 3 0.159616469261139
"FT+FM+MB" 3 0.150531914893617
"FT+MC+MB" 3 0.174046740467405
"FM+MC+MB" 3 0.155323819978046
"BM+HB+FT+FM" 4 0.194501718213058
"BM+HB+FT+MC" 4 0.211985018726592
"BM+HB+FT+MB" 4 0.222135007849294
"BM+HB+FM+MC" 4 0.214719271623672
"BM+HB+FM+MB" 4 0.214393939393939
"BM+HB+MC+MB" 4 0.238617200674536
"BM+FT+FM+MC" 4 0.212942061700527
"BM+FT+FM+MB" 4 0.21972049689441
"BM+FT+MC+MB" 4 0.236424394319131
"BM+FM+MC+MB" 4 0.236030025020851
"HB+FT+FM+MC" 4 0.162084765177549
"HB+FT+FM+MB" 4 0.153221440173254
"HB+FT+MC+MB" 4 0.176985616010006
"HB+FM+MC+MB" 4 0.157660167130919
"FT+FM+MC+MB" 4 0.174261083743842
"BM+HB+FT+FM+MC" 5 0.215372907153729
"BM+HB+FT+FM+MB" 5 0.22248427672956
"BM+HB+FT+MC+MB" 5 0.239424703891709
"BM+HB+FM+MC+MB" 5 0.23902027027027
"BM+FT+FM+MC+MB" 5 0.236820083682008
"HB+FT+FM+MC+MB" 5 0.177207263619286
"aa" 6 0.239830508474576
