"NumTraits" "Overlap"
"BM" 1 0.135947405494247
"HB" 1 0.106461780929866
"FT" 1 0.0868568244647794
"FM" 1 0.0828580190125728
"MC" 1 0.122907569141194
"MB" 1 0.0873039806996381
"BM+HB" 2 0.157251493753395
"BM+FT" 2 0.144993381747934
"BM+FM" 2 0.140441456737933
"BM+MC" 2 0.169496487119438
"BM+MB" 2 0.147661031769164
"HB+FT" 2 0.109691737259466
"HB+FM" 2 0.108065591254499
"HB+MC" 2 0.136038666800926
"HB+MB" 2 0.11122698207964
"FT+FM" 2 0.087651384083045
"FT+MC" 2 0.12549541738915
"FT+MB" 2 0.0915084328644646
"FM+MC" 2 0.123956326268465
"FM+MB" 2 0.0886773875943551
"MC+MB" 2 0.128279791106188
"BM+HB+FT" 3 0.164049218813244
"BM+HB+FM" 3 0.160210293303818
"BM+HB+MC" 3 0.180237470538533
"BM+HB+MB" 3 0.166229185464687
"BM+FT+FM" 3 0.146635311143271
"BM+FT+MC" 3 0.174135338345865
"BM+FT+MB" 3 0.153070473600725
"BM+FM+MC" 3 0.170998227997637
"BM+FM+MB" 3 0.150478948540878
"BM+MC+MB" 3 0.178916699774864
"HB+FT+FM" 3 0.110707456978968
"HB+FT+MC" 3 0.138877467105263
"HB+FT+MB" 3 0.113269241518082
"HB+FM+MC" 3 0.137124877355618
"HB+FM+MB" 3 0.112377308268175
"HB+MC+MB" 3 0.14198633736206
"FT+FM+MC" 3 0.12627741774676
"FT+FM+MB" 3 0.0920257935606921
"FT+MC+MB" 3 0.129121666825958
"FM+MC+MB" 3 0.128883518300633
"BM+HB+FT+FM" 4 0.165800777255062
"BM+HB+FT+MC" 4 0.184891200218968
"BM+HB+FT+MB" 4 0.170566450635468
"BM+HB+FM+MC" 4 0.181732580037665
"BM+HB+FM+MB" 4 0.168439863685479
"BM+HB+MC+MB" 4 0.189773844641101
"BM+FT+FM+MC" 4 0.175173963780957
"BM+FT+FM+MB" 4 0.154071314529005
"BM+FT+MC+MB" 4 0.18030963608862
"BM+FM+MC+MB" 4 0.179630368302087
"HB+FT+FM+MC" 4 0.13974898282877
"HB+FT+FM+MB" 4 0.113854710938817
"HB+FT+MC+MB" 4 0.142837004405286
"HB+FM+MC+MB" 4 0.142635931726201
"FT+FM+MC+MB" 4 0.129571611253197
"BM+HB+FT+FM+MC" 5 0.186062525822889
"BM+HB+FT+FM+MB" 5 0.171548294252095
"BM+HB+FT+MC+MB" 5 0.191017060985955
"BM+HB+FM+MC+MB" 5 0.190576950204542
"BM+FT+FM+MC+MB" 5 0.180759967888681
"HB+FT+FM+MC+MB" 5 0.143296563428087
"aa" 6 0.191522540402608
