"NumTraits" "Overlap"
"BM" 1 0.0254142409314823
"HB" 1 0.0227688758494446
"FT" 1 0.0242430715010413
"FM" 1 0.0292554048393853
"MC" 1 0.0243758389261745
"MB" 1 0.0330169812006836
"BM+HB" 2 0.025453424158327
"BM+FT" 2 0.0275987841945289
"BM+FM" 2 0.0338200238379023
"BM+MC" 2 0.0264561055913289
"BM+MB" 2 0.0376998131617189
"HB+FT" 2 0.0246826324516813
"HB+FM" 2 0.0297617096594448
"HB+MC" 2 0.0245591258249486
"HB+MB" 2 0.03355878330931
"FT+FM" 2 0.0298851331336603
"FT+MC" 2 0.0258689458689459
"FT+MB" 2 0.0331302222060058
"FM+MC" 2 0.0312489245276525
"FM+MB" 2 0.0341096919609316
"MC+MB" 2 0.0352170034518869
"BM+HB+FT" 3 0.0276365849946736
"BM+HB+FM" 3 0.0338768048352796
"BM+HB+MC" 3 0.0264676732933015
"BM+HB+MB" 3 0.0377703826955075
"BM+FT+FM" 3 0.034512904329317
"BM+FT+MC" 3 0.0282241770538684
"BM+FT+MB" 3 0.0378270288285286
"BM+FM+MC" 3 0.0345470456188411
"BM+FM+MB" 3 0.0390655251043325
"BM+MC+MB" 3 0.0385170102655468
"HB+FT+FM" 3 0.0304055185346415
"HB+FT+MC" 3 0.0260754695307564
"HB+FT+MB" 3 0.0336757779178875
"HB+FM+MC" 3 0.0315507835574551
"HB+FM+MB" 3 0.0346882640586797
"HB+MC+MB" 3 0.0355952800972206
"FT+FM+MC" 3 0.0317649116669582
"FT+FM+MB" 3 0.034167450611477
"FT+MC+MB" 3 0.0353197448265131
"FM+MC+MB" 3 0.0364307494784144
"BM+HB+FT+FM" 4 0.034572037770332
"BM+HB+FT+MC" 4 0.0282373429531036
"BM+HB+FT+MB" 4 0.0378980758796277
"BM+HB+FM+MC" 4 0.0345667732602406
"BM+HB+FM+MB" 4 0.0391413052849384
"BM+HB+MC+MB" 4 0.0385415340209686
"BM+FT+FM+MC" 4 0.0351787997365464
"BM+FT+FM+MB" 4 0.0391193830511395
"BM+FT+MC+MB" 4 0.0386399421251968
"BM+FM+MC+MB" 4 0.0399138423666974
"HB+FT+FM+MC" 4 0.0320768714452256
"HB+FT+FM+MB" 4 0.0347480004592247
"HB+FT+MC+MB" 4 0.0357002437681843
"HB+FM+MC+MB" 4 0.0368356997971602
"FT+FM+MC+MB" 4 0.0364775831592479
"BM+HB+FT+FM+MC" 5 0.0351992556985579
"BM+HB+FT+FM+MB" 5 0.0391953725287059
"BM+HB+FT+MC+MB" 5 0.0386646227218532
"BM+HB+FM+MC+MB" 5 0.0399401777073986
"BM+FT+FM+MC+MB" 5 0.0399700664700445
"HB+FT+FM+MC+MB" 5 0.036883581119506
"aa" 6 0.0399964760814025
