"NumTraits" "Overlap"
"BM" 1 0.153919466285442
"HB" 1 0.154360812425329
"FT" 1 0.125145292522278
"FM" 1 0.184676958261864
"MC" 1 0.163917787363613
"MB" 1 0.190448113207547
"BM+HB" 2 0.186813186813187
"BM+FT" 2 0.155963302752294
"BM+FM" 2 0.228107344632768
"BM+MC" 2 0.194519722975008
"BM+MB" 2 0.235080058224163
"HB+FT" 2 0.156948493683188
"HB+FM" 2 0.200933125972006
"HB+MC" 2 0.163917787363613
"HB+MB" 2 0.20560152768937
"FT+FM" 2 0.187627069416207
"FT+MC" 2 0.16547131147541
"FT+MB" 2 0.193587054240336
"FM+MC" 2 0.215405135045015
"FM+MB" 2 0.192951015531661
"MC+MB" 2 0.220477815699659
"BM+HB+FT" 3 0.18855808523059
"BM+HB+FM" 3 0.241495327102804
"BM+HB+MC" 3 0.194519722975008
"BM+HB+MB" 3 0.247320061255743
"BM+FT+FM" 3 0.23030303030303
"BM+FT+MC" 3 0.195402298850575
"BM+FT+MB" 3 0.237412715913267
"BM+FM+MC" 3 0.252936570086139
"BM+FM+MB" 3 0.238905325443787
"BM+MC+MB" 3 0.259125551544324
"HB+FT+FM" 3 0.204042956411876
"HB+FT+MC" 3 0.16547131147541
"HB+FT+MB" 3 0.208858713223408
"HB+FM+MC" 3 0.215405135045015
"HB+FM+MB" 3 0.208521626856036
"HB+MC+MB" 3 0.220477815699659
"FT+FM+MC" 3 0.218095881161377
"FT+FM+MB" 3 0.196173701791679
"FT+MC+MB" 3 0.223297614932596
"FM+MC+MB" 3 0.223839223839224
"BM+HB+FT+FM" 4 0.243406179351922
"BM+HB+FT+MC" 4 0.195402298850575
"BM+HB+FT+MB" 4 0.249324585102277
"BM+HB+FM+MC" 4 0.252936570086139
"BM+HB+FM+MB" 4 0.251557632398754
"BM+HB+MC+MB" 4 0.259125551544324
"BM+FT+FM+MC" 4 0.254430878298543
"BM+FT+FM+MB" 4 0.241314904744117
"BM+FT+MC+MB" 4 0.260694108151735
"BM+FM+MC+MB" 4 0.263781135157207
"HB+FT+FM+MC" 4 0.218095881161377
"HB+FT+FM+MB" 4 0.211872745162348
"HB+FT+MC+MB" 4 0.223297614932596
"HB+FM+MC+MB" 4 0.223839223839224
"FT+FM+MC+MB" 4 0.226746226746227
"BM+HB+FT+FM+MC" 5 0.254430878298543
"BM+HB+FT+FM+MB" 5 0.253631723596388
"BM+HB+FT+MC+MB" 5 0.260694108151735
"BM+HB+FM+MC+MB" 5 0.263781135157207
"BM+FT+FM+MC+MB" 5 0.265406737880033
"HB+FT+FM+MC+MB" 5 0.226746226746227
"aa" 6 0.265406737880033
